Transaction ID,Transaction Date,Terminal ID,,,Receipt Number,Clerk,Sales Total,Tax,Sales Ex Tax
12382776,16/05/2022 09:01:50,212,,,1,RENSCHE,21,1.91,19.09
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Steak Burger,755,,,1,12.5,11.36,12.5,0
,Large Chips,12,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,CASH,1,,,,20,,,
,CASH,1,,,,5,,,
,CHANGE,9996,,,,4,,,
12382800,16/05/2022 09:12:59,212,,,2,RENSCHE,15.9,1.45,14.45
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Pork Meal,134,,,1,15.9,14.45,15.9,0
,EFTPOS,2,,,,15.9,,,
12382801,16/05/2022 09:14:08,212,,,3,RENSCHE,17.91,1.63,16.28
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Lamb Meal,132,,,1,17.91,16.28,19.9,1.99
,DISCOUNT,0,,,,1.99,,,
,CASH,1,,,,20,,,
,CHANGE,9996,,,,2.1,,,
,CASH ROUNDING,8010,,,,-0.01,,,
12382827,16/05/2022 09:27:13,211,,,1,RENSCHE,9.5,0.86,8.64
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Bacon & Egg Roll,3,,,1,7.5,6.82,7.5,0
,Hash Brown,7,,,1,2,1.82,2,0
,EFTPOS,2,,,,9.5,,,
12382856,16/05/2022 09:39:03,212,,,4,RENSCHE,8.5,0.77,7.73
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,CASH,1,,,,8.5,,,
12382861,16/05/2022 09:40:32,211,,,2,RENSCHE,26.4,2.39,24.01
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Big Breakfast,1,,,1,16,14.55,16,0
,300ML Orange Juice,291,,,1,5.2,4.73,5.2,0
,300ML Orange Juice,291,,,1,5.2,4.73,5.2,0
,EFTPOS,2,,,,26.4,,,
12382877,16/05/2022 09:45:13,211,,,3,RENSCHE,8.5,0.77,7.73
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,EFTPOS,2,,,,8.5,,,
12382920,16/05/2022 09:56:37,212,,,5,RENSCHE,33.2,3.03,30.17
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,HD Bacon & Egg Burger,1225,,,1,8,7.27,8,0
,HD Big Breakfast,1228,,,1,17,15.45,17,0
,Breaky Mushrooms,462,,,1,3.5,3.18,3.5,0
,Sausage,147,,,1,3.5,3.18,3.5,0
,Hollandaise PC,940,,,1,1.2,1.09,1.2,0
,UBER EATS,15,,,,33.2,,,
12382923,16/05/2022 09:57:46,212,,,6,RENSCHE,6.5,0.59,5.91
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Chips,11,,,1,5.5,5,5.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,EFTPOS,2,,,,6.5,,,
