Transaction_ID,Transaction_Date,Terminal_ID,Receipt_Number,Clerk,Sales_Total,Tax,Sales_Ex_Tax
12382776,16052022_090150,212,1,RENSCHE,21.00,1.91,19.09
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Steak_Burger,755,1,12.50,11.36,12.50,0.00
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,CASH,1,,20.00,,,
,CASH,1,,5.00,,,
,CHANGE,9996,,4.00,,,
12382800,16052022_091259,212,2,RENSCHE,15.90,1.45,14.45
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Pork_Meal,134,1,15.90,14.45,15.90,0.00
,EFTPOS,2,,15.90,,,
12382801,16052022_091408,212,3,RENSCHE,17.91,1.63,16.28
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Lamb_Meal,132,1,17.91,16.28,19.90,1.99
,DISCOUNT,0,,1.99,,,
,CASH,1,,20.00,,,
,CHANGE,9996,,2.10,,,
,CASH_ROUNDING,8010,,-0.01,,,
12382827,16052022_092713,211,1,RENSCHE,9.50,0.86,8.64
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Bacon_&_Egg_Roll,3,1,7.50,6.82,7.50,0.00
,Hash_Brown,7,1,2.00,1.82,2.00,0.00
,EFTPOS,2,,9.50,,,
12382856,16052022_093903,212,4,RENSCHE,8.50,0.77,7.73
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,CASH,1,,8.50,,,
12382861,16052022_094032,211,2,RENSCHE,26.40,2.39,24.01
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Big_Breakfast,1,1,16.00,14.55,16.00,0.00
,300ML_Orange_Juice,291,1,5.20,4.73,5.20,0.00
,300ML_Orange_Juice,291,1,5.20,4.73,5.20,0.00
,EFTPOS,2,,26.40,,,
12382877,16052022_094513,211,3,RENSCHE,8.50,0.77,7.73
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,EFTPOS,2,,8.50,,,
12382920,16052022_095637,212,5,RENSCHE,33.20,3.03,30.17
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,HD_Bacon_&_Egg_Burger,1225,1,8.00,7.27,8.00,0.00
,HD_Big_Breakfast,1228,1,17.00,15.45,17.00,0.00
,Breaky_Mushrooms,462,1,3.50,3.18,3.50,0.00
,Sausage,147,1,3.50,3.18,3.50,0.00
,Hollandaise_PC,940,1,1.20,1.09,1.20,0.00
,UBER_EATS,15,,33.20,,,
12382923,16052022_095746,212,6,RENSCHE,6.50,0.59,5.91
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Chips,11,1,5.50,5.00,5.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
